Data de Compra;Nome no Cartão;Final do Cartão;Categoria;Descrição;Parcela;Valor (em US$);Cotação (em R$);Valor (em R$)
03/02/2024;ISIS CARVALHO;6431;Restaurante / Lanchonete / Bar;LA PATISSERIE;Única;0;0;22.30
05/02/2024;ISIS CARVALHO;6431;Casa / Escritório Mobiliário;DECORART;Única;0;0;220.00
08/02/2024;ISIS CARVALHO;6431;TV por assinatura / Serviços de rádio;PAYU DIRECTVGO;Única;0;0;-3.20
11/02/2024;ISIS CARVALHO;6431;Serviços de telecomunicações;PARTIK TELECOM;Única;0;0;105.50
13/02/2024;ISIS CARVALHO;6431;Entretenimento;INGRESSOS SHOW;Única;0;0;155.80
15/02/2024;ISIS CARVALHO;6431;Restaurante / Lanchonete / Bar;TAPIOCA EXPRESS;Única;0;0;21.50
18/02/2024;ISIS CARVALHO;6431;Restaurante / Lanchonete / Bar;PAGAR TVTAPIOCARIA;Única;0;0;27.80
20/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;9.45
21/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;17.60
22/02/2024;ISIS CARVALHO;6431;Marketing Direto;PROMOÇÃO LIVELO;1/3;0;0;400.00
23/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;14.20
24/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;10.75
26/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;20.10
28/02/2024;ISIS CARVALHO;6431;Transporte;UBER VIAGEM;Única;0;0;15.30
02/02/2024;ISIS CARVALHO;6431;Serviços Profissionais;CURSOS ONLINE;Única;0;0;55.20
05/02/2024;ISIS CARVALHO;6431;TV por assinatura / Serviços de rádio;SPOTIFY PREMIUM;Única;0;0;42.00
07/02/2024;ISIS CARVALHO;6431;Marketing Direto;PROMOÇÃO LIVELO;Única;0;0;37.20
09/02/2024;ISIS CARVALHO;6431;Associação;ASSOCIAÇÃO XPTO;Única;0;0;53.90
11/02/2024;ISIS CARVALHO;6431;Restaurante / Lanchonete / Bar;CANTINA ITALIANA;Única;0;0;61.30
13/02/2024;ISIS CARVALHO;6431;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO CENTER;Única;0;0;29.50
14/02/2024;ISIS CARVALHO;6431;Assistência médica e odontológica;CONSULTA MÉDICA;Única;0;0;28.90
16/02/2024;ISIS CARVALHO;6431;Supermercados / Mercearia / Padarias / Lojas de Conveniência;MERCADO DO BAIRRO;Única;0;0;15.70
19/02/2024;ISIS CARVALHO;6431;Assistência médica e odontológica;DENTISTA CHECKUP;Única;0;0;50.40
21/02/2024;ISIS CARVALHO;6431;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPER SHOPPING;Única;0;0;19.80
23/02/2024;ISIS CARVALHO;6431;Empresa para empresa;SERVIÇOS MERCPAGO;Única;0;0;15.20
25/02/2024;ISIS CARVALHO;6431;Restaurante / Lanchonete / Bar;PIZZARIA BELLA;Única;0;0;43.60
26/02/2024;ISIS CARVALHO;6431;Entretenimento;CINEMA VIP;Única;0;0;69.90
27/02/2024;ISIS CARVALHO;6431;Especialidade varejo;PAPELARIA GRANDE;Única;0;0;47.30
29/02/2024;ISIS CARVALHO;6431;Materiais de construção para casa;LOJA DE MATERIAIS;Única;0;0;105.90
